index,ideology_score,worldview_alignment
820070433420640257,,0.5
41344448,0.25,0.16666666666666666
502394586,0.107142857142857,0.4
118289772,0.375,0.625
2848219950,0.5,0.5714285714285714
532695195,0.333333333333333,0.6666666666666666
826426447430615040,0.25,0.5
747232285,0.118421052631578,0.4444444444444444
843491282051772416,0.796875,0.75
239336273,0.186944215310903,0.25
27014567,0.5,0.625
411978591,1.0,1.0
839692420073709569,,0.5
2831991019,0.214285714285714,0.125
801304331131715584,0.225,0.5
967507597493440513,,0.5
18946095,0.795348475285212,0.75
74792510,0.261363636363636,0.5
17976087,0.014705882352941,0.2
765832471,0.35,0.25
214554256,0.280003243791391,0.5714285714285714
2751326834,0.5625,0.6666666666666666
2319250925,0.25,0.0
85291311,0.25,0.2857142857142857
110173621,0.149655970391135,0.7142857142857143
18342912,0.047619047619047,0.6666666666666666
1557586243,0.204545454545454,0.3333333333333333
805446101851586561,,0.5
108417706,0.0,0.6666666666666666
2161351860,0.175,0.5714285714285714
228901209,0.305555555555555,0.42857142857142855
34527814,0.27,0.5454545454545454
295009113,0.270833333333333,0.42857142857142855
822869798279331841,,0.5
40406017,0.166666666666666,0.14285714285714285
32513127,0.285714285714285,0.6666666666666666
263747020,0.333333333333333,0.4444444444444444
38339743,0.25,0.6666666666666666
17224548,0.333333333333333,0.8571428571428571
2638240907,0.269230769230769,0.4
215475487,0.25,0.5625
523807752,,0.5
1462626500,0.25,0.75
1393468201,0.125,0.5555555555555556
915855913336131584,0.225,0.42857142857142855
591169299,0.221774193548387,0.0
817346308537286658,,0.5
485399103,0.234375,0.16666666666666666
279217505,0.2463189549151,0.4
213131150,0.201923076923076,0.5
2896149285,0.227272727272727,0.5
198709715,0.35,0.8
833388403328634885,,0.5
4499749708,,0.5
763136216359329792,0.818181818181818,0.5
67058543,0.1875,0.25
265676949,0.3,0.6666666666666666
132934212,0.321428571428571,0.6666666666666666
2270142561,0.425,0.8
312919115,0.205357142857142,0.3333333333333333
763891061508956160,0.131578947368421,0.25
718703,0.375,0.3333333333333333
22502456,0.392857142857142,0.16666666666666666
751956652631420929,,0.5
3018129356,0.375,0.16666666666666666
358789268,,0.5
340651511,0.25,0.8571428571428571
18829520,0.153846153846153,0.6
770289359476097024,0.234375,0.75
606850755,0.0625,0.5
238656915,0.241666666666666,0.6
39204230,0.5,0.6
534649948,0.208096780751188,0.5714285714285714
486119747,0.291666666666666,0.375
3718578135,0.263392857142857,0.6
1206441186,0.125,0.38461538461538464
780479026343194624,0.3,0.5555555555555556
35118619,0.241847826086956,0.4
872013572,0.25,0.5
172094388,0.25,0.5714285714285714
10546842,0.277777777777777,0.45454545454545453
2209175376,0.203125,0.25
1019271116416790528,0.0,0.6
860896142,0.8541666666666661,0.5714285714285714
2065711,0.4375,0.8571428571428571
47207344,0.375,0.375
16116612,0.25,0.5555555555555556
824538800739258368,0.25,0.42857142857142855
290616931,0.153846153846153,0.2
3614423541,0.175,0.8333333333333334
46505400,0.375,0.375
46223338,0.208333333333333,0.625
2285830538,0.4375,0.7777777777777778
187780598,0.2,0.7142857142857143
14464925,0.25,0.5
14057737,0.256410256410256,0.6666666666666666
22027485,0.227796179006098,0.375
72751159,0.222222222222222,0.5454545454545454
929715517,0.178777968770438,0.2857142857142857
2301659114,0.416666666666666,0.5
866797912491216899,,0.5
132485140,0.15,0.16666666666666666
903999580085264384,0.25,0.5714285714285714
3271823850,0.3,0.5714285714285714
2445593759,0.225,0.7
16062332,0.0,0.4444444444444444
2523889105,0.2,0.25
1051813561,0.25,0.375
40395356,0.25,0.5
21229561,0.333333333333333,0.6666666666666666
2934025908,0.375,0.5714285714285714
17282093,0.3,0.6666666666666666
351559145,0.25,0.6363636363636364
118048366,0.285714285714285,0.7142857142857143
487296299,,0.5
299756822,0.25,0.3333333333333333
2288265217,0.333333333333333,0.625
1125206298,0.21875,0.4
15892963,0.5,0.3333333333333333
776475778410123264,0.128378378378378,0.14285714285714285
17564665,0.833333333333333,0.875
228454681,0.416666666666666,0.7272727272727273
211297563,0.333333333333333,0.7142857142857143
16116216,0.25,0.2222222222222222
46741795,0.6184210526315791,1.0
5469742,0.8437500000000001,0.8571428571428571
822530796615561217,,0.5
25933621,0.285714285714285,0.6666666666666666
701216063405449216,0.214778756680052,1.0
1541614766,0.894736842105263,1.0
312262737,0.234375,0.3
89887286,0.3125,0.4444444444444444
176123698,0.5,0.2857142857142857
77114294,0.227272727272727,0.5555555555555556
236402192,0.172268907563025,0.42857142857142855
36264117,0.6818181818181811,0.8
18435929,0.184782608695652,0.6
80199724,0.125,0.25
28725143,0.222222222222222,0.375
816244650,0.225,0.3333333333333333
255782354,0.133956643125452,0.3333333333333333
